filename,corruption_type,z_start,z_end,removed_slices,removed_fraction,changed_voxels,lung_voxels,changed_lung_fraction,noise_sigma_hu,quality_issue_fraction,supports_region_filter
NLST_0001_0000.nii.gz,lung_region_occlusion,0,111,84,0.75,726584,1449175,0.501377680404368,0.0,0.75,True
NLST_0001_0001.nii.gz,lung_region_occlusion,0,111,75,0.6696428571428571,768572,1521968,0.5049856501582162,0.0,0.6696428571428571,True
NLST_0002_0000.nii.gz,lung_region_occlusion,0,111,78,0.6964285714285714,693673,1425099,0.4867542535641384,0.0,0.6964285714285714,True
NLST_0002_0001.nii.gz,lung_region_occlusion,0,111,87,0.7767857142857143,760309,1472407,0.5163714923930679,0.0,0.7767857142857143,True
NLST_0003_0000.nii.gz,lung_region_occlusion,0,111,85,0.7589285714285714,1132532,2265369,0.49993268204870817,0.0,0.7589285714285714,True
NLST_0003_0001.nii.gz,lung_region_occlusion,0,111,84,0.75,1091057,2196035,0.496830423923116,0.0,0.75,True
NLST_0004_0000.nii.gz,lung_region_occlusion,0,111,71,0.6339285714285714,705372,1791731,0.3936818640744621,0.0,0.6339285714285714,True
NLST_0004_0001.nii.gz,lung_region_occlusion,0,111,93,0.8303571428571429,1135564,2237761,0.507455443186292,0.0,0.8303571428571429,True
NLST_0005_0000.nii.gz,lung_region_occlusion,0,111,100,0.8928571428571429,1074471,2055379,0.5227605225119065,0.0,0.8928571428571429,True
NLST_0005_0001.nii.gz,lung_region_occlusion,0,111,107,0.9553571428571429,1087302,2021790,0.5377917587880047,0.0,0.9553571428571429,True
NLST_0006_0000.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1906405,0.4247261206301914,0.0,1.0,True
NLST_0006_0001.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1386420,0.34002538913172053,0.0,1.0,True
NLST_0007_0000.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1294365,0.46362115786505353,0.0,1.0,True
NLST_0007_0001.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1370502,0.5006041581843733,0.0,1.0,True
NLST_0008_0000.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1013721,0.4590740450281685,0.0,1.0,True
NLST_0008_0001.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1165829,0.46428421320794044,0.0,1.0,True
NLST_0009_0000.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1672457,0.40926552969672764,0.0,1.0,True
NLST_0009_0001.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1613124,0.4201456304661018,0.0,1.0,True
NLST_0010_0000.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1232157,0.4068783442369763,0.0,1.0,True
NLST_0010_0001.nii.gz,full_slice_dropout,56,111,56,1.0,2408448,1166192,0.41878867287719346,0.0,1.0,True
NLST_0011_0000.nii.gz,low_dose_noise,0,223,0,0.0,6716416,1460644,0.9956662951410473,75.0,0.5,False
NLST_0011_0001.nii.gz,low_dose_noise,0,223,0,0.0,6229192,1651868,0.9929812793758339,75.0,0.5,False
NLST_0012_0000.nii.gz,low_dose_noise,0,223,0,0.0,7218611,1197478,0.9726099352138411,75.0,0.5,False
NLST_0012_0001.nii.gz,low_dose_noise,0,223,0,0.0,6897678,1369372,0.9605541810406523,75.0,0.5,False
NLST_0013_0000.nii.gz,low_dose_noise,0,223,0,0.0,5156393,1261670,0.9881046549414665,75.0,0.5,False
NLST_0013_0001.nii.gz,low_dose_noise,0,223,0,0.0,5092528,1323204,0.9934205156574496,75.0,0.5,False
NLST_0014_0000.nii.gz,low_dose_noise,0,223,0,0.0,5347562,1035906,0.9890472687676295,75.0,0.5,False
NLST_0014_0001.nii.gz,low_dose_noise,0,223,0,0.0,5271098,1215381,0.9901701606327563,75.0,0.5,False
NLST_0015_0000.nii.gz,low_dose_noise,0,223,0,0.0,7151698,1784566,0.8764343823652362,75.0,0.5,False
NLST_0015_0001.nii.gz,low_dose_noise,0,223,0,0.0,6708252,1812294,0.8407465896813652,75.0,0.5,False
